sample,fastq_1,fastq_2,strandedness
E2F5_FLOX_REP1,1_L000_R1_001.fastq.gz,1_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP2,2_L000_R1_001.fastq.gz,2_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP1,3_L000_R1_001.fastq.gz,3_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP3,4_L000_R1_001.fastq.gz,4_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP2,5_L000_R1_001.fastq.gz,5_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP3,6_L000_R1_001.fastq.gz,6_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP4,7_L000_R1_001.fastq.gz,7_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP4,8_L000_R1_001.fastq.gz,8_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP5,9_L000_R1_001.fastq.gz,9_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP6,10_L000_R1_001.fastq.gz,10_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP5,11_L000_R1_001.fastq.gz,11_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP6,12_L000_R1_001.fastq.gz,12_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP7,13_L000_R1_001.fastq.gz,13_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP7,14_L000_R1_001.fastq.gz,14_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP8,15_L000_R1_001.fastq.gz,15_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP8,16_L000_R1_001.fastq.gz,16_L000_R2_001.fastq.gz,auto
E2F5_CKO_REP9,17_L000_R1_001.fastq.gz,17_L000_R2_001.fastq.gz,auto
E2F5_FLOX_REP9,18_L000_R1_001.fastq.gz,18_L000_R2_001.fastq.gz,auto
