group,replicate,fastq_1,fastq_2,control
igg_virgin,1,1_L000_R1_001.fastq.gz,1_L000_R2_001.fastq.gz,
igg_virgin,2,2_L000_R1_001.fastq.gz,2_L000_R2_001.fastq.gz,
h3k4me3_virgin,1,3_L000_R1_001.fastq.gz,3_L000_R2_001.fastq.gz,igg_virgin
h3k4me3_virgin,2,4_L000_R1_001.fastq.gz,4_L000_R2_001.fastq.gz,igg_virgin
e2f5_virgin,1,5_L000_R1_001.fastq.gz,5_L000_R2_001.fastq.gz,igg_virgin
e2f5_virgin,2,6_L000_R1_001.fastq.gz,6_L000_R2_001.fastq.gz,igg_virgin
igg_preg_d5,1,7_L000_R1_001.fastq.gz,7_L000_R2_001.fastq.gz,
igg_preg_d5,2,8_L000_R1_001.fastq.gz,8_L000_R2_001.fastq.gz,
h3k4me3_preg_d5,1,9_L000_R1_001.fastq.gz,9_L000_R2_001.fastq.gz,igg_preg_d5
h3k4me3_preg_d5,2,10_L000_R1_001.fastq.gz,10_L000_R2_001.fastq.gz,igg_preg_d5
e2f5_preg_d5,1,11_L000_R1_001.fastq.gz,11_L000_R2_001.fastq.gz,igg_preg_d5
e2f5_preg_d5,2,12_L000_R1_001.fastq.gz,12_L000_R2_001.fastq.gz,igg_preg_d5
